"species_id","egg_group_name"
1,"Monster"
1,"Grass"
2,"Monster"
2,"Grass"
3,"Monster"
3,"Grass"
4,"Monster"
4,"Dragon"
5,"Monster"
5,"Dragon"
6,"Monster"
6,"Dragon"
7,"Monster"
7,"Water 1"
8,"Monster"
8,"Water 1"
9,"Monster"
9,"Water 1"
10,"Bug"
11,"Bug"
12,"Bug"
13,"Bug"
14,"Bug"
15,"Bug"
16,"Flying"
17,"Flying"
18,"Flying"
19,"Field"
20,"Field"
21,"Flying"
22,"Flying"
23,"Field"
23,"Dragon"
24,"Field"
24,"Dragon"
25,"Field"
25,"Fairy"
26,"Field"
26,"Fairy"
27,"Field"
28,"Field"
29,"Monster"
29,"Field"
30,"Undiscovered"
31,"Undiscovered"
32,"Monster"
32,"Field"
33,"Monster"
33,"Field"
34,"Monster"
34,"Field"
35,"Fairy"
36,"Fairy"
37,"Field"
38,"Field"
39,"Fairy"
40,"Fairy"
41,"Flying"
42,"Flying"
43,"Grass"
44,"Grass"
45,"Grass"
46,"Bug"
46,"Grass"
47,"Bug"
47,"Grass"
48,"Bug"
49,"Bug"
50,"Field"
51,"Field"
52,"Field"
53,"Field"
54,"Water 1"
54,"Field"
55,"Water 1"
55,"Field"
56,"Field"
57,"Field"
58,"Field"
59,"Field"
60,"Water 1"
61,"Water 1"
62,"Water 1"
63,"Human-Like"
64,"Human-Like"
65,"Human-Like"
66,"Human-Like"
67,"Human-Like"
68,"Human-Like"
69,"Grass"
70,"Grass"
71,"Grass"
72,"Water 3"
73,"Water 3"
74,"Mineral"
75,"Mineral"
76,"Mineral"
77,"Field"
78,"Field"
79,"Monster"
79,"Water 1"
80,"Monster"
80,"Water 1"
81,"Mineral"
82,"Mineral"
83,"Flying"
83,"Field"
84,"Flying"
85,"Flying"
86,"Water 1"
86,"Field"
87,"Water 1"
87,"Field"
88,"Amorphous"
89,"Amorphous"
90,"Water 3"
91,"Water 3"
92,"Amorphous"
93,"Amorphous"
94,"Amorphous"
95,"Mineral"
96,"Human-Like"
97,"Human-Like"
98,"Water 3"
99,"Water 3"
100,"Mineral"
101,"Mineral"
102,"Grass"
103,"Grass"
104,"Monster"
105,"Monster"
106,"Human-Like"
107,"Human-Like"
108,"Monster"
109,"Amorphous"
110,"Amorphous"
111,"Monster"
111,"Field"
112,"Monster"
112,"Field"
113,"Fairy"
114,"Grass"
115,"Monster"
116,"Water 1"
116,"Dragon"
117,"Water 1"
117,"Dragon"
118,"Water 2"
119,"Water 2"
120,"Water 3"
121,"Water 3"
122,"Human-Like"
123,"Bug"
124,"Human-Like"
125,"Human-Like"
126,"Human-Like"
127,"Bug"
128,"Field"
129,"Water 2"
129,"Dragon"
130,"Water 2"
130,"Dragon"
131,"Monster"
131,"Water 1"
132,"Ditto"
133,"Field"
134,"Field"
135,"Field"
136,"Field"
137,"Mineral"
138,"Water 1"
138,"Water 3"
139,"Water 1"
139,"Water 3"
140,"Water 1"
140,"Water 3"
141,"Water 1"
141,"Water 3"
142,"Flying"
143,"Monster"
144,"Undiscovered"
145,"Undiscovered"
146,"Undiscovered"
147,"Water 1"
147,"Dragon"
148,"Water 1"
148,"Dragon"
149,"Water 1"
149,"Dragon"
150,"Undiscovered"
151,"Undiscovered"
152,"Monster"
152,"Grass"
153,"Monster"
153,"Grass"
154,"Monster"
154,"Grass"
155,"Field"
156,"Field"
157,"Field"
158,"Monster"
158,"Water 1"
159,"Monster"
159,"Water 1"
160,"Monster"
160,"Water 1"
161,"Field"
162,"Field"
163,"Flying"
164,"Flying"
165,"Bug"
166,"Bug"
167,"Bug"
168,"Bug"
169,"Flying"
170,"Water 2"
171,"Water 2"
172,"Undiscovered"
173,"Undiscovered"
174,"Undiscovered"
175,"Undiscovered"
176,"Flying"
176,"Fairy"
177,"Flying"
178,"Flying"
179,"Monster"
179,"Field"
180,"Monster"
180,"Field"
181,"Monster"
181,"Field"
182,"Grass"
183,"Water 1"
183,"Fairy"
184,"Water 1"
184,"Fairy"
185,"Mineral"
186,"Water 1"
187,"Fairy"
187,"Grass"
188,"Fairy"
188,"Grass"
189,"Fairy"
189,"Grass"
190,"Field"
191,"Grass"
192,"Grass"
193,"Bug"
194,"Water 1"
194,"Field"
195,"Water 1"
195,"Field"
196,"Field"
197,"Field"
198,"Flying"
199,"Monster"
199,"Water 1"
200,"Amorphous"
201,"Undiscovered"
202,"Amorphous"
203,"Field"
204,"Bug"
205,"Bug"
206,"Field"
207,"Bug"
208,"Mineral"
209,"Field"
209,"Fairy"
210,"Field"
210,"Fairy"
211,"Water 2"
212,"Bug"
213,"Bug"
214,"Bug"
215,"Field"
216,"Field"
217,"Field"
218,"Amorphous"
219,"Amorphous"
220,"Field"
221,"Field"
222,"Water 1"
222,"Water 3"
223,"Water 1"
223,"Water 2"
224,"Water 1"
224,"Water 2"
225,"Water 1"
225,"Field"
226,"Water 1"
227,"Flying"
228,"Field"
229,"Field"
230,"Water 1"
230,"Dragon"
231,"Field"
232,"Field"
233,"Mineral"
234,"Field"
235,"Field"
236,"Undiscovered"
237,"Human-Like"
238,"Undiscovered"
239,"Undiscovered"
240,"Undiscovered"
241,"Field"
242,"Fairy"
243,"Undiscovered"
244,"Undiscovered"
245,"Undiscovered"
246,"Monster"
247,"Monster"
248,"Monster"
249,"Undiscovered"
250,"Undiscovered"
251,"Undiscovered"
252,"Monster"
252,"Dragon"
253,"Monster"
253,"Dragon"
254,"Monster"
254,"Dragon"
255,"Field"
256,"Field"
257,"Field"
258,"Monster"
258,"Water 1"
259,"Monster"
259,"Water 1"
260,"Monster"
260,"Water 1"
261,"Field"
262,"Field"
263,"Field"
264,"Field"
265,"Bug"
266,"Bug"
267,"Bug"
268,"Bug"
269,"Bug"
270,"Water 1"
270,"Grass"
271,"Water 1"
271,"Grass"
272,"Water 1"
272,"Grass"
273,"Field"
273,"Grass"
274,"Field"
274,"Grass"
275,"Field"
275,"Grass"
276,"Flying"
277,"Flying"
278,"Water 1"
278,"Flying"
279,"Water 1"
279,"Flying"
280,"Amorphous"
281,"Amorphous"
282,"Amorphous"
283,"Water 1"
283,"Bug"
284,"Water 1"
284,"Bug"
285,"Fairy"
285,"Grass"
286,"Fairy"
286,"Grass"
287,"Field"
288,"Field"
289,"Field"
290,"Bug"
291,"Bug"
292,"Mineral"
293,"Monster"
293,"Field"
294,"Monster"
294,"Field"
295,"Monster"
295,"Field"
296,"Human-Like"
297,"Human-Like"
298,"Undiscovered"
299,"Mineral"
300,"Field"
300,"Fairy"
301,"Field"
301,"Fairy"
302,"Human-Like"
303,"Field"
303,"Fairy"
304,"Monster"
305,"Monster"
306,"Monster"
307,"Human-Like"
308,"Human-Like"
309,"Field"
310,"Field"
311,"Fairy"
312,"Fairy"
313,"Bug"
313,"Human-Like"
314,"Bug"
314,"Human-Like"
315,"Fairy"
315,"Grass"
316,"Amorphous"
317,"Amorphous"
318,"Water 2"
319,"Water 2"
320,"Field"
320,"Water 2"
321,"Field"
321,"Water 2"
322,"Field"
323,"Field"
324,"Field"
325,"Field"
326,"Field"
327,"Field"
327,"Human-Like"
328,"Bug"
329,"Bug"
330,"Bug"
331,"Grass"
331,"Human-Like"
332,"Grass"
332,"Human-Like"
333,"Flying"
333,"Dragon"
334,"Flying"
334,"Dragon"
335,"Field"
336,"Field"
336,"Dragon"
337,"Mineral"
338,"Mineral"
339,"Water 2"
340,"Water 2"
341,"Water 1"
341,"Water 3"
342,"Water 1"
342,"Water 3"
343,"Mineral"
344,"Mineral"
345,"Water 3"
346,"Water 3"
347,"Water 3"
348,"Water 3"
349,"Water 1"
349,"Dragon"
350,"Water 1"
350,"Dragon"
351,"Fairy"
351,"Amorphous"
352,"Field"
353,"Amorphous"
354,"Amorphous"
355,"Amorphous"
356,"Amorphous"
357,"Monster"
357,"Grass"
358,"Amorphous"
359,"Field"
360,"Undiscovered"
361,"Fairy"
361,"Mineral"
362,"Fairy"
362,"Mineral"
363,"Water 1"
363,"Field"
364,"Water 1"
364,"Field"
365,"Water 1"
365,"Field"
366,"Water 1"
367,"Water 1"
368,"Water 1"
369,"Water 1"
369,"Water 2"
370,"Water 2"
371,"Dragon"
372,"Dragon"
373,"Dragon"
374,"Mineral"
375,"Mineral"
376,"Mineral"
377,"Undiscovered"
378,"Undiscovered"
379,"Undiscovered"
380,"Undiscovered"
381,"Undiscovered"
382,"Undiscovered"
383,"Undiscovered"
384,"Undiscovered"
385,"Undiscovered"
386,"Undiscovered"
387,"Monster"
387,"Grass"
388,"Monster"
388,"Grass"
389,"Monster"
389,"Grass"
390,"Field"
390,"Human-Like"
391,"Field"
391,"Human-Like"
392,"Field"
392,"Human-Like"
393,"Water 1"
393,"Field"
394,"Water 1"
394,"Field"
395,"Water 1"
395,"Field"
396,"Flying"
397,"Flying"
398,"Flying"
399,"Water 1"
399,"Field"
400,"Water 1"
400,"Field"
401,"Bug"
402,"Bug"
403,"Field"
404,"Field"
405,"Field"
406,"Undiscovered"
407,"Fairy"
407,"Grass"
408,"Monster"
409,"Monster"
410,"Monster"
411,"Monster"
412,"Bug"
413,"Bug"
414,"Bug"
415,"Bug"
416,"Bug"
417,"Field"
417,"Fairy"
418,"Water 1"
418,"Field"
419,"Water 1"
419,"Field"
420,"Fairy"
420,"Grass"
421,"Fairy"
421,"Grass"
422,"Water 1"
422,"Amorphous"
423,"Water 1"
423,"Amorphous"
424,"Field"
425,"Amorphous"
426,"Amorphous"
427,"Field"
427,"Human-Like"
428,"Field"
428,"Human-Like"
429,"Amorphous"
430,"Flying"
431,"Field"
432,"Field"
433,"Undiscovered"
434,"Field"
435,"Field"
436,"Mineral"
437,"Mineral"
438,"Undiscovered"
439,"Undiscovered"
440,"Undiscovered"
441,"Flying"
442,"Amorphous"
443,"Monster"
443,"Dragon"
444,"Monster"
444,"Dragon"
445,"Monster"
445,"Dragon"
446,"Undiscovered"
447,"Undiscovered"
448,"Field"
448,"Human-Like"
449,"Field"
450,"Field"
451,"Bug"
451,"Water 3"
452,"Bug"
452,"Water 3"
453,"Human-Like"
454,"Human-Like"
455,"Grass"
456,"Water 2"
457,"Water 2"
458,"Undiscovered"
459,"Monster"
459,"Grass"
460,"Monster"
460,"Grass"
461,"Field"
462,"Mineral"
463,"Monster"
464,"Monster"
464,"Field"
465,"Grass"
466,"Human-Like"
467,"Human-Like"
468,"Flying"
468,"Fairy"
469,"Bug"
470,"Field"
471,"Field"
472,"Bug"
473,"Field"
474,"Mineral"
475,"Amorphous"
476,"Mineral"
477,"Amorphous"
478,"Fairy"
478,"Mineral"
479,"Amorphous"
480,"Undiscovered"
481,"Undiscovered"
482,"Undiscovered"
483,"Undiscovered"
484,"Undiscovered"
485,"Undiscovered"
486,"Undiscovered"
487,"Undiscovered"
488,"Undiscovered"
489,"Water 1"
489,"Fairy"
490,"Water 1"
490,"Fairy"
491,"Undiscovered"
492,"Undiscovered"
493,"Undiscovered"
494,"Undiscovered"
495,"Field"
495,"Grass"
496,"Field"
496,"Grass"
497,"Field"
497,"Grass"
498,"Field"
499,"Field"
500,"Field"
501,"Field"
502,"Field"
503,"Field"
504,"Field"
505,"Field"
506,"Field"
507,"Field"
508,"Field"
509,"Field"
510,"Field"
511,"Field"
512,"Field"
513,"Field"
514,"Field"
515,"Field"
516,"Field"
517,"Field"
518,"Field"
519,"Flying"
520,"Flying"
521,"Flying"
522,"Field"
523,"Field"
524,"Mineral"
525,"Mineral"
526,"Mineral"
527,"Flying"
527,"Field"
528,"Flying"
528,"Field"
529,"Field"
530,"Field"
531,"Fairy"
532,"Human-Like"
533,"Human-Like"
534,"Human-Like"
535,"Water 1"
536,"Water 1"
537,"Water 1"
538,"Human-Like"
539,"Human-Like"
540,"Bug"
541,"Bug"
542,"Bug"
543,"Bug"
544,"Bug"
545,"Bug"
546,"Fairy"
546,"Grass"
547,"Fairy"
547,"Grass"
548,"Grass"
549,"Grass"
550,"Water 2"
551,"Field"
552,"Field"
553,"Field"
554,"Field"
555,"Field"
556,"Grass"
557,"Bug"
557,"Mineral"
558,"Bug"
558,"Mineral"
559,"Field"
559,"Dragon"
560,"Field"
560,"Dragon"
561,"Flying"
562,"Mineral"
562,"Amorphous"
563,"Mineral"
563,"Amorphous"
564,"Water 1"
564,"Water 3"
565,"Water 1"
565,"Water 3"
566,"Flying"
566,"Water 3"
567,"Flying"
567,"Water 3"
568,"Mineral"
569,"Mineral"
570,"Field"
571,"Field"
572,"Field"
573,"Field"
574,"Human-Like"
575,"Human-Like"
576,"Human-Like"
577,"Amorphous"
578,"Amorphous"
579,"Amorphous"
580,"Water 1"
580,"Flying"
581,"Water 1"
581,"Flying"
582,"Mineral"
583,"Mineral"
584,"Mineral"
585,"Field"
586,"Field"
587,"Field"
588,"Bug"
589,"Bug"
590,"Grass"
591,"Grass"
592,"Amorphous"
593,"Amorphous"
594,"Water 1"
594,"Water 2"
595,"Bug"
596,"Bug"
597,"Grass"
597,"Mineral"
598,"Grass"
598,"Mineral"
599,"Mineral"
600,"Mineral"
601,"Mineral"
602,"Amorphous"
603,"Amorphous"
604,"Amorphous"
605,"Human-Like"
606,"Human-Like"
607,"Amorphous"
608,"Amorphous"
609,"Amorphous"
610,"Monster"
610,"Dragon"
611,"Monster"
611,"Dragon"
612,"Monster"
612,"Dragon"
613,"Field"
614,"Field"
615,"Mineral"
616,"Bug"
617,"Bug"
618,"Water 1"
618,"Amorphous"
619,"Field"
619,"Human-Like"
620,"Field"
620,"Human-Like"
621,"Monster"
621,"Dragon"
622,"Mineral"
623,"Mineral"
624,"Human-Like"
625,"Human-Like"
626,"Field"
627,"Flying"
628,"Flying"
629,"Flying"
630,"Flying"
631,"Field"
632,"Bug"
633,"Dragon"
634,"Dragon"
635,"Dragon"
636,"Bug"
637,"Bug"
638,"Undiscovered"
639,"Undiscovered"
640,"Undiscovered"
641,"Undiscovered"
642,"Undiscovered"
643,"Undiscovered"
644,"Undiscovered"
645,"Undiscovered"
646,"Undiscovered"
647,"Undiscovered"
648,"Undiscovered"
649,"Undiscovered"
650,"Field"
651,"Field"
652,"Field"
653,"Field"
654,"Field"
655,"Field"
656,"Water 1"
657,"Water 1"
658,"Water 1"
659,"Field"
660,"Field"
661,"Flying"
662,"Flying"
663,"Flying"
664,"Bug"
665,"Bug"
666,"Bug"
667,"Field"
668,"Field"
669,"Fairy"
670,"Fairy"
671,"Fairy"
672,"Field"
673,"Field"
674,"Field"
674,"Human-Like"
675,"Field"
675,"Human-Like"
676,"Field"
677,"Field"
678,"Field"
679,"Mineral"
680,"Mineral"
681,"Mineral"
682,"Fairy"
683,"Fairy"
684,"Fairy"
685,"Fairy"
686,"Water 1"
686,"Water 2"
687,"Water 1"
687,"Water 2"
688,"Water 3"
689,"Water 3"
690,"Water 1"
690,"Dragon"
691,"Water 1"
691,"Dragon"
692,"Water 1"
692,"Water 3"
693,"Water 1"
693,"Water 3"
694,"Monster"
694,"Dragon"
695,"Monster"
695,"Dragon"
696,"Monster"
696,"Dragon"
697,"Monster"
697,"Dragon"
698,"Monster"
699,"Monster"
700,"Field"
701,"Human-Like"
702,"Field"
702,"Fairy"
703,"Fairy"
703,"Mineral"
704,"Dragon"
705,"Dragon"
706,"Dragon"
707,"Mineral"
708,"Grass"
708,"Amorphous"
709,"Grass"
709,"Amorphous"
710,"Amorphous"
711,"Amorphous"
712,"Monster"
713,"Monster"
714,"Flying"
715,"Flying"
716,"Undiscovered"
717,"Undiscovered"
718,"Undiscovered"
719,"Undiscovered"
720,"Undiscovered"
721,"Undiscovered"
